SRA Run,Reads Retrieved,Length (bp)
SRR7692599,180,1783
SRR7692600,200,1544
SRR7692601,204,1648
SRR7692602,206,1679
SRR7692603,204,1546
SRR7692604,198,1659
SRR7692605,214,1659
